date,pays,Ligue,id_ligue,nom_club,id_club,id_joueur,nom,nationalité,age(saison correspondante),id_stats,Matches_Played,Minutes*,Goals,Shots,OnTarget,Ratio but par match
2016,Spain,La Liga,4,(BIL),11,3,Aduriz,Espagnole,35,1,27,2480,16,85,45,"0,592592593"
2016,Italy,Serie A,3,(ATA),5,5,Alejandro Gomez,Argentine,28,2,37,3247,16,117,75,"0,432432432"
2016,England,Premier League,1,(INT),42,7,Alexis Sanchez,Chili,28,3,36,3385,24,129,49,"0,666666667"
2016,Italy,Serie A,3,(TOR),87,10,Andrea Belotti,Italienne,23,4,34,3241,26,130,78,"0,764705882"
2016,Germany,Bundesliga,2,(HOF),39,13,Andrej Kramaric,Croate,25,5,28,2449,15,99,60,"0,535714286"
2016,Germany,Bundesliga,2,(KOL),44,20,Anthony Modeste,Française,28,6,34,3075,25,101,53,"0,735294118"
2016,Spain,La Liga,4,(BAR),7,21,Antoine Griezmann,Française,25,7,36,3129,16,88,41,"0,444444444"
2016,Germany,Bundesliga,2,(GRO),37,22,Arjen Robben,Néerlandaise,32,8,21,1882,13,83,52,"0,619047619"
2016,Italy,Serie A,3,(VIL),94,30,Carlos Bacca,Colombienne,30,9,26,2228,13,56,39,"0,5"
2016,Spain,La Liga,4,(SOC),81,32,Cedric Bakambu,Congolaise,25,10,17,1633,10,50,26,"0,588235294"
2016,Germany,Bundesliga,2,(LAG),45,33,Chicharito,Mexicain,28,11,20,1895,11,52,30,"0,55"
2016,England,Premier League,1,(CRY),23,36,Christian Benteke,Belgique,26,12,36,3299,15,105,38,"0,416666667"
2016,Italy,Serie A,3,(LAZ),46,37,Ciro Immobile,Italienne,26,13,35,3294,22,136,98,"0,628571429"
2016,Spain,La Liga,4,(JUV),43,39,Cristiano Ronaldo,Portugaise,31,14,29,2634,25,162,60,"0,862068966"
2016,Italy,Serie A,3,(CAL),73,40,Cyril Thereau,Française,33,15,31,2585,12,70,48,"0,387096774"
2016,England,Premier League,1,(TOT),88,45,Dele Alli,Angleterre,20,16,35,3182,18,95,43,"0,514285714"
2016,England,Premier League,1,(ATL),6,47,Diego Costa,Espagne,28,17,35,3232,20,111,41,"0,571428571"
2016,Italy,Serie A,3,(CRZ),24,48,Diego Falcinelli,Italienne,26,18,35,3308,13,99,65,"0,371428571"
2016,Italy,Serie A,3,(NAP),63,52,Dries Mertens,Belge,29,19,28,2671,28,148,102,1
2016,England,Premier League,1,(RMA),73,54,Eden Hazard,Belgique,25,20,36,3101,16,77,32,"0,444444444"
2016,Italy,Serie A,3,(ROM),74,55,Edin Dzeko,Bosnienne,30,21,33,3194,29,178,99,"0,878787879"
2016,Germany,Bundesliga,2,(RBL),71,57,Emil Forsberg,Suédois,25,22,27,2420,8,49,32,"0,296296296"
2016,Italy,Serie A,3,(SAM),75,60,Fabio Quagliarella,Italienne,33,23,35,3030,12,112,70,"0,342857143"
2016,England,Premier League,1,(NAP),63,62,Fernando Llorente,Espagne,31,24,28,2562,15,52,25,"0,535714286"
2016,Germany,Bundesliga,2,(HKI),38,63,Fin Bartels,Allemand,29,25,23,2315,8,42,29,"0,347826087"
